batch_size,mean_ch,std_ch,mean_time,std_time
500,301.6288256636184,21.743893906073684,17.440941309928895,1.0441467685703025
1000,308.15146050925375,17.54378843955828,17.36864996433258,0.3602844007938365
2000,306.7544677728683,19.363350607979527,17.400946111679076,0.34498875396669126
4000,306.3330892222216,21.020908094418985,17.418855323791504,0.25510046045596835
8000,308.1928053390943,18.49637042194269,17.57425350666046,0.3052506516750189
16000,308.0784060471821,19.31492704293808,17.80164963722229,0.2655148618920866
