iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,66.49976801872253,126211.45385176118
1,4,1000,61.66781949996948,126183.33111537779
2,4,1000,60.726778745651245,126727.42273085269
3,4,1000,59.29299521446228,124859.33538528484
4,4,1000,58.951252937316895,126535.80252125273
5,4,1000,59.283565282821655,126667.3814149675
6,4,1000,58.16707634925842,125504.964669374
7,4,1000,58.20072340965271,126733.88988518629
8,4,1000,58.063188552856445,125398.26557921663
9,4,1000,58.15349841117859,125287.52256627542
10,4,1000,58.12898278236389,126357.5386231423
11,4,1000,58.656925201416016,125501.74285245917
12,4,1000,57.91455030441284,126366.9777869553
13,4,1000,57.90928626060486,125264.95258316824
14,4,1000,59.268513441085815,126149.12437298766
15,4,1000,59.08004641532898,125167.96529641289
16,4,1000,57.8798828125,125795.44555849502
17,4,1000,58.2441668510437,126701.94642224607
18,4,1000,58.76702165603638,125952.48926465226
19,4,1000,59.10912084579468,125639.16477226115
20,4,1000,57.818466663360596,125202.59390587694
21,4,1000,57.68092703819275,126495.55669182849
22,4,1000,58.05024218559265,125995.98027377759
23,4,1000,57.48006272315979,126483.31130068969
24,4,1000,57.803014278411865,125786.7414835433
25,4,1000,58.55099654197693,125643.69636154956
26,4,1000,59.172961711883545,128142.13384143903
27,4,1000,57.57113075256348,126335.50769463771
28,4,1000,57.85827016830444,126131.88206828592
29,4,1000,57.88741970062256,127089.23607274093
30,4,1000,58.40158295631409,126981.52947895475
31,4,1000,60.43471884727478,126125.61700223344
32,4,1000,57.683846950531006,125175.373107223
33,4,1000,57.74292278289795,126298.45900377349
34,4,1000,57.849456787109375,126802.20537864628
35,4,1000,58.59862661361694,126064.8971021336
36,4,1000,57.73032832145691,126609.14532274762
37,4,1000,57.827977895736694,125863.21747761287
38,4,1000,58.182262659072876,125773.83133100822
39,4,1000,57.57485747337341,126257.28013396054
40,4,1000,57.54925346374512,126028.0408317974
41,4,1000,58.04776620864868,126034.56104726407
42,4,1000,57.5630886554718,126298.03475477315
43,4,1000,57.54290413856506,126365.9801557557
44,4,1000,57.339014768600464,126352.75911736177
45,4,1000,57.40752124786377,125036.22084252612
46,4,1000,57.365639209747314,126716.80445622448
47,4,1000,57.57231163978577,126580.77653037268
48,4,1000,58.82529306411743,126684.32506103793
49,4,1000,58.52985501289368,127163.83989324198
