iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,43.987595081329346,125181.58322823727
1,4,1000,44.18942904472351,126350.50055617493
2,4,1000,43.26787853240967,125531.5281089641
3,4,1000,42.67045474052429,126212.26720209364
4,4,1000,39.133021116256714,125465.7604096563
5,4,1000,38.326650857925415,125378.3731146319
6,4,1000,38.538620710372925,125289.9661036461
7,4,1000,40.38576602935791,126272.69449386754
8,4,1000,39.320167779922485,127852.31150214933
9,4,1000,41.81279110908508,125948.51876926025
10,4,1000,40.35106182098389,125823.79685733074
11,4,1000,37.48140239715576,125831.8684218086
12,4,1000,38.38384461402893,126014.29556314381
13,4,1000,38.392056703567505,125735.56839117107
14,4,1000,37.654279947280884,124959.00169096306
15,4,1000,38.12490892410278,125588.81986167788
16,4,1000,38.441744804382324,125925.54845692517
17,4,1000,39.70308566093445,125240.36009035714
18,4,1000,38.129390239715576,126010.23794715408
19,4,1000,37.86952185630798,126018.41902186653
20,4,1000,42.86025524139404,125833.27223414963
21,4,1000,38.88887906074524,125684.2503839076
22,4,1000,37.53007888793945,127139.79659007775
23,4,1000,37.50662136077881,126564.29406757643
24,4,1000,38.54917645454407,125416.40505493371
25,4,1000,37.51552200317383,124680.18762278272
26,4,1000,38.067556381225586,125345.61614749736
27,4,1000,38.13167095184326,125364.26435166362
28,4,1000,37.50090312957764,126405.88101116284
29,4,1000,37.9140408039093,127078.48058770486
30,4,1000,37.82361125946045,126265.7788025605
31,4,1000,37.22943305969238,125227.30645637146
32,4,1000,37.76949906349182,125884.57215915414
33,4,1000,37.50751328468323,125315.53344108301
34,4,1000,38.03615164756775,125765.66029068323
35,4,1000,37.949875593185425,125776.40998442582
36,4,1000,37.32316493988037,125510.12874577178
37,4,1000,37.826884031295776,126057.09993243423
38,4,1000,37.72915291786194,125803.99561601966
39,4,1000,37.36847949028015,125661.42007949096
40,4,1000,37.69347953796387,126076.0382818794
41,4,1000,37.86772012710571,126468.87099260195
42,4,1000,37.742921590805054,126118.92844294278
43,4,1000,37.94952368736267,125696.96539429217
44,4,1000,37.41464805603027,126537.96924544388
45,4,1000,37.86119508743286,126430.72963662991
46,4,1000,37.954702854156494,124875.63945020488
47,4,1000,37.69297218322754,125966.36715079729
48,4,1000,38.06216788291931,126493.31595303823
49,4,1000,37.89139199256897,125631.59603595645
