iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,17.8080575466156,125770.47865487193
1,4,1000,16.022815465927124,126676.47316013715
2,4,1000,15.881902933120728,125722.26500945743
3,4,1000,16.442099809646606,126361.12870934221
4,4,1000,15.482144117355347,125262.65207096997
5,4,1000,15.493223428726196,125253.0092142105
6,4,1000,15.637631893157959,125601.40587066089
7,4,1000,15.465570449829102,126367.82885469029
8,4,1000,15.467465877532959,125606.6078526911
9,4,1000,15.745031833648682,125861.69272934367
10,4,1000,15.25229287147522,124977.70901034775
11,4,1000,15.416353940963745,126610.82945184642
12,4,1000,15.518466472625732,125809.48868451297
13,4,1000,15.276218175888062,126652.96848099165
14,4,1000,15.49781084060669,126338.08536270431
15,4,1000,15.133201837539673,126871.405846975
16,4,1000,15.332741737365723,125212.31502464727
17,4,1000,15.194027662277222,125875.856174317
18,4,1000,15.346706628799438,125523.74934421465
19,4,1000,15.246898651123047,126471.19847688892
20,4,1000,15.113844394683838,126522.63095984017
21,4,1000,15.177504062652588,124573.24700357558
22,4,1000,14.98072624206543,124821.32358533479
23,4,1000,15.170373439788818,125801.50193482693
24,4,1000,15.231695652008057,125836.8467728361
25,4,1000,15.0824716091156,125941.073065068
26,4,1000,15.569153785705566,125703.92860766561
27,4,1000,15.239701747894287,125748.27828942794
28,4,1000,15.300755023956299,124820.1814943263
29,4,1000,15.348594903945923,124830.42162289897
30,4,1000,15.184396743774414,124983.53591488341
31,4,1000,15.465951681137085,125472.19208917013
32,4,1000,15.131927013397217,125258.06640865521
33,4,1000,15.105155944824219,126007.15076540508
34,4,1000,15.199089765548706,125730.72491688379
35,4,1000,15.380682945251465,126394.77876028967
36,4,1000,15.062214136123657,124790.33125948884
37,4,1000,15.292142152786255,125049.72129196305
38,4,1000,15.278072595596313,125427.81786009306
39,4,1000,15.250404834747314,125312.63155953253
40,4,1000,15.031366348266602,125881.43851102836
41,4,1000,15.217344522476196,125214.48649752868
42,4,1000,15.12634539604187,126464.55348275675
43,4,1000,15.315816402435303,125072.06308870598
44,4,1000,15.179017305374146,126060.79091077378
45,4,1000,15.041974306106567,126470.36191378033
46,4,1000,15.175482988357544,126161.30917391318
47,4,1000,14.991636276245117,126206.92988736712
48,4,1000,15.202512264251709,125156.55249115296
49,4,1000,15.243813037872314,125424.09121979064
