iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,16.36283302307129,124649.40588239158
1,4,1000,14.576937913894653,125061.21462712792
2,4,1000,14.053885221481323,125332.69088692122
3,4,1000,13.694443464279175,124145.51134410193
4,4,1000,13.773799657821655,125097.71786326142
5,4,1000,13.525193691253662,124704.70279663759
6,4,1000,13.656009435653687,125502.82931161436
7,4,1000,13.724610805511475,125106.19078804017
8,4,1000,13.71020245552063,124058.79421411932
9,4,1000,13.47830581665039,124904.9465798898
10,4,1000,13.573890209197998,125148.05486895863
11,4,1000,13.647139549255371,125896.64524645434
12,4,1000,14.275911331176758,124365.50806374727
13,4,1000,13.462315320968628,124347.28463633278
14,4,1000,14.16291093826294,125836.0676142179
15,4,1000,14.408803462982178,125180.77245061251
16,4,1000,13.653447389602661,125402.72172266904
17,4,1000,13.613304615020752,125800.7191334472
18,4,1000,13.401949882507324,127126.74316717334
19,4,1000,13.512535572052002,124485.10401194272
20,4,1000,13.322996139526367,124475.47400534445
21,4,1000,13.348305940628052,124919.51972738866
22,4,1000,13.348528623580933,124271.33805928288
23,4,1000,13.635521650314331,125807.73375817202
24,4,1000,14.387354135513306,124482.3177884481
25,4,1000,14.570567607879639,125051.67984421788
26,4,1000,13.43378210067749,125770.76626565409
27,4,1000,13.419935703277588,125405.28641388004
28,4,1000,13.367398262023926,126221.33137711139
29,4,1000,13.393046855926514,124967.04905391959
30,4,1000,13.462355136871338,126108.81431212797
31,4,1000,13.521079540252686,126131.52116127206
32,4,1000,13.927815675735474,127801.95158432622
33,4,1000,14.052034139633179,125190.57514260661
34,4,1000,14.557927370071411,125001.47359101586
35,4,1000,14.960872411727905,124754.02875881072
36,4,1000,13.91184687614441,124182.50860218475
37,4,1000,13.768497943878174,125460.92455950813
38,4,1000,13.45519495010376,126288.34879425094
39,4,1000,13.49267578125,125069.77748847206
40,4,1000,13.663506746292114,125424.70918661969
41,4,1000,14.270521640777588,126250.98676544384
42,4,1000,13.478748559951782,124662.75710811671
43,4,1000,13.506943941116333,125238.42606181011
44,4,1000,14.552339792251587,125691.74370184919
45,4,1000,14.224448919296265,124597.35120141604
46,4,1000,13.453088998794556,126560.69431964554
47,4,1000,13.522536516189575,124483.72331183105
48,4,1000,13.521958827972412,126106.83324093046
49,4,1000,13.428519010543823,125203.96528655509
