iteration_id,k_value,execution_time,wcss
0,4,54.52030348777771,125043.35403081775
1,4,48.78286170959473,124766.2994852364
2,4,47.895286321640015,124897.8050596714
3,4,48.29872798919678,124712.77883312106
4,4,48.36112308502197,125763.4041005373
5,4,48.64293575286865,125021.72910231352
6,4,46.825414419174194,124888.30719447136
7,4,47.2532753944397,125525.0232398808
8,4,46.92519021034241,125688.53075754642
9,4,46.81649160385132,125532.04139876366
10,4,46.36586022377014,124775.26415622234
11,4,46.42760467529297,124607.23017808795
12,4,48.03426647186279,125323.6439461708
13,4,48.93098592758179,124888.81971177459
14,4,48.42576575279236,125843.6703632772
15,4,45.897780418395996,125436.93012467027
16,4,47.08789658546448,125760.94183936715
17,4,47.037100076675415,125529.10937719792
18,4,46.28590726852417,125479.47831338644
19,4,45.99048089981079,125171.0692941472
20,4,46.099571228027344,124768.63546712697
21,4,46.110331535339355,124613.04495736957
22,4,45.94255328178406,125633.15874090791
23,4,46.07574510574341,125485.05957815051
24,4,45.89950442314148,124912.70865732431
25,4,46.10085153579712,125047.12386783957
26,4,46.09912133216858,124921.09739720821
27,4,46.35900926589966,125402.68318915367
28,4,45.70188117027283,124896.9025002718
29,4,45.77286386489868,125506.11765024066
30,4,47.43655753135681,124766.0680885613
31,4,47.167011737823486,124896.85546571016
32,4,46.46255588531494,125727.34299010038
33,4,46.28590369224548,124789.4868068695
34,4,56.875006437301636,124766.12440755963
35,4,46.4300434589386,124604.85588744283
36,4,50.11100435256958,125556.67230981588
37,4,47.07489061355591,124845.91037814319
38,4,46.664857149124146,125203.04156856984
39,4,46.108811378479004,125040.93123999238
40,4,46.44601130485535,124911.64381185174
41,4,46.78825545310974,125656.00867450237
42,4,48.397204875946045,125016.24605313689
43,4,48.080830574035645,124888.61349904537
44,4,46.94724130630493,124768.4518244937
45,4,48.45248484611511,125757.49321827292
46,4,47.50507974624634,124604.78837573528
47,4,46.10923147201538,124896.89207977057
48,4,45.95321249961853,124971.64814159274
49,4,45.9083297252655,126130.35919415951
