iteration_id,k_value,execution_time,wcss
0,4,143.79296731948853,124856.4595034793
1,4,141.91961121559143,125046.18229362369
2,4,140.35724139213562,124578.46833112836
3,4,138.56998682022095,124760.89311379194
4,4,134.5845181941986,124848.96398058534
5,4,134.81252074241638,124926.22494477034
6,4,133.31266355514526,125080.71781420708
7,4,133.4238851070404,124954.5664537549
8,4,137.1971514225006,125378.56448286772
9,4,136.5980703830719,125974.81236431003
10,4,135.80100107192993,126186.34756463766
11,4,135.82777070999146,124712.79264885932
12,4,135.26780676841736,124760.90508443117
13,4,134.97887897491455,124578.90915587544
14,4,133.54332041740417,124588.18285575509
15,4,131.57445526123047,126027.93819406629
16,4,132.30311274528503,125460.72699898481
17,4,131.82385969161987,124576.82017454505
18,4,131.802161693573,124760.8012765944
19,4,132.770090341568,124943.14474138618
20,4,131.95679759979248,124932.9586282596
21,4,131.66276836395264,124584.42838329077
22,4,132.05743169784546,124576.75338697433
23,4,131.78045105934143,125120.68380240351
24,4,131.4267315864563,124882.65545088798
25,4,131.35394048690796,124934.4748954624
26,4,131.70716381072998,126008.91672798991
27,4,131.31786584854126,124921.46908351779
28,4,131.68449759483337,125217.69460538775
29,4,131.92716789245605,124833.79148837924
30,4,131.76102542877197,125729.64391484857
31,4,131.76083827018738,124627.63077801466
32,4,131.40090131759644,124935.06030085683
33,4,131.21599912643433,124576.68369188905
34,4,131.64370846748352,124859.38618257642
35,4,131.4380328655243,125676.1610506177
36,4,131.23479008674622,125349.9367724806
37,4,132.0584111213684,125293.75199326873
38,4,131.2799346446991,125168.16729292274
39,4,131.977313041687,124576.83427554369
40,4,131.42564129829407,126019.63662785292
41,4,131.9972734451294,124757.08028456569
42,4,131.84023809432983,124857.30526718497
43,4,131.54937386512756,124736.29674330354
44,4,131.85726118087769,125892.32735523582
45,4,131.58254265785217,126126.99971526861
46,4,132.09497785568237,125871.46602758765
47,4,131.57649850845337,125590.51893430948
48,4,131.54251527786255,125508.59968295693
49,4,131.49598360061646,125209.26847995818
