iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,51.58173656463623,126159.63408176819
1,4,1000,49.654898166656494,124587.56878097322
2,4,1000,49.299344301223755,126869.4002028105
3,4,1000,50.73305916786194,124968.13054241195
4,4,1000,47.781521797180176,125951.60685621317
5,4,1000,50.614887714385986,125251.80809291555
6,4,1000,47.97713494300842,125428.80324232721
7,4,1000,47.03978633880615,126978.75465041795
8,4,1000,46.48156261444092,126818.93440738603
9,4,1000,46.33059120178223,126137.98308438556
10,4,1000,46.227113246917725,125625.74405308621
11,4,1000,46.265387535095215,125157.5420773514
12,4,1000,46.566346645355225,124820.22556812462
13,4,1000,47.1203408241272,126198.06714585121
14,4,1000,46.09368705749512,126651.7492186477
15,4,1000,52.24721169471741,125562.76474234305
16,4,1000,47.01933670043945,125739.78418424702
17,4,1000,49.15678882598877,125262.78445144744
18,4,1000,46.45779871940613,125617.55087628696
19,4,1000,46.15137696266174,125907.77695117416
20,4,1000,46.11664938926697,126293.92017749182
21,4,1000,46.27850031852722,125699.54539462333
22,4,1000,46.19402313232422,126813.55545642732
23,4,1000,46.3551881313324,126419.59705377622
24,4,1000,49.22597050666809,125690.0348189348
25,4,1000,46.97180533409119,126741.41102772897
26,4,1000,47.33129549026489,125545.94081471566
27,4,1000,48.0367374420166,124955.1946338616
28,4,1000,52.17913246154785,126013.389435424
29,4,1000,51.84433627128601,125817.64315953021
30,4,1000,52.34893870353699,126181.05645671015
31,4,1000,52.65780067443848,125669.64307568056
32,4,1000,50.797285318374634,126257.78983433865
33,4,1000,49.86930322647095,126506.60018896798
34,4,1000,51.00284957885742,127112.23474170484
35,4,1000,51.40874242782593,125440.59339574451
36,4,1000,50.88088941574097,125945.29572534382
37,4,1000,48.87852239608765,125098.31443461245
38,4,1000,49.57552766799927,126543.74826536157
39,4,1000,48.57560634613037,124966.30431346595
40,4,1000,48.134870290756226,125931.14353608763
41,4,1000,51.52689528465271,125530.29284125977
42,4,1000,46.95466876029968,125835.98211087294
43,4,1000,46.31295657157898,126114.26767598768
44,4,1000,46.41395974159241,125886.16239890702
45,4,1000,48.92815327644348,125421.46463138037
46,4,1000,48.912309885025024,125797.29486277828
47,4,1000,47.98154592514038,124762.53831335867
48,4,1000,48.17300248146057,125836.97256423431
49,4,1000,51.65028953552246,125174.05820891389
