iteration_id,k_value,execution_time,wcss
0,4,73.22055864334106,125003.21394634247
1,4,69.62039732933044,125137.03944802284
2,4,69.45993328094482,125443.01446852833
3,4,68.92393684387207,124786.57944653928
4,4,68.93157267570496,124651.6320630014
5,4,69.64270043373108,125388.17501980066
6,4,68.35231256484985,125175.01701956242
7,4,67.66015386581421,125668.16685330868
8,4,67.62232780456543,124814.38553768396
9,4,67.51769280433655,124651.29235804081
10,4,68.5757417678833,124935.47351285815
11,4,68.58482766151428,125566.53983554244
12,4,67.45482611656189,124966.68070614338
13,4,67.84372067451477,124815.19962343574
14,4,67.7142071723938,125093.32676285505
15,4,67.90624117851257,125524.48138707876
16,4,67.19163751602173,125511.79543226957
17,4,67.33779859542847,124973.8477114439
18,4,67.47389340400696,124651.25436222553
19,4,67.74509596824646,125662.57662344724
20,4,67.23616337776184,125494.37468650937
21,4,68.74380707740784,125371.29335203767
22,4,68.40563726425171,125862.39415833354
23,4,68.16456961631775,124832.01107785106
24,4,68.35982751846313,125518.25907066464
25,4,68.20556783676147,125250.59675386548
26,4,67.38462495803833,125196.27470076084
27,4,67.30524802207947,124648.38081887364
28,4,67.54531383514404,125452.15572330356
29,4,67.73590087890625,125851.73740145564
30,4,67.84049892425537,124963.82186838984
31,4,68.6321702003479,126442.77720803022
32,4,70.59379243850708,125259.26715627313
33,4,67.06362843513489,125829.54109400511
34,4,67.30770587921143,125347.62203963846
35,4,67.8005359172821,124846.69008082151
36,4,67.65699672698975,125298.38530504704
37,4,67.27014994621277,125259.36243912578
38,4,67.4467499256134,124936.64065137506
39,4,67.43601942062378,125509.91199792922
40,4,67.76238918304443,125247.8946081698
41,4,67.55491089820862,124647.6703298986
42,4,67.14543151855469,124925.57252626121
43,4,67.50511169433594,125016.58567541838
44,4,69.62714862823486,124647.72746127844
45,4,69.98599123954773,125012.50503924489
46,4,69.3243613243103,125236.6158412993
47,4,67.52493786811829,125682.60532817245
48,4,67.6050238609314,124961.08369985223
49,4,67.21887922286987,124974.40725338459
