iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,51.46486783027649,124810.89081212392
1,4,1000,49.527631521224976,125571.60499436132
2,4,1000,49.60748529434204,126532.75996149697
3,4,1000,51.379189014434814,125655.75929853554
4,4,1000,53.339640617370605,125991.4379372899
5,4,1000,48.816468954086304,126314.08601071678
6,4,1000,50.63359785079956,125533.22962898455
7,4,1000,53.709867000579834,126569.58020737894
8,4,1000,47.18723106384277,127219.76679672365
9,4,1000,51.72430610656738,125997.76301973467
10,4,1000,50.87346529960632,125568.06814555552
11,4,1000,49.137552976608276,126153.85956548875
12,4,1000,50.56945443153381,126477.20014637975
13,4,1000,50.086535692214966,126775.30023423833
14,4,1000,49.848692893981934,126382.44569806839
15,4,1000,49.06783747673035,125655.87551458318
16,4,1000,50.04140043258667,125930.733906415
17,4,1000,50.75013613700867,127231.78473537168
18,4,1000,49.84314799308777,125030.20624232499
19,4,1000,47.72434663772583,125611.87250169175
20,4,1000,47.14397096633911,125820.08614651229
21,4,1000,47.441657304763794,126213.90882422187
22,4,1000,47.73444199562073,125664.61114663129
23,4,1000,47.14488983154297,125749.16062185544
24,4,1000,46.68463397026062,125859.48265681292
25,4,1000,46.25902462005615,125313.72297096434
26,4,1000,44.735106468200684,126451.09746589774
27,4,1000,45.53207206726074,126231.00865167324
28,4,1000,45.07058000564575,126567.093171585
29,4,1000,43.310802698135376,125645.63114877859
30,4,1000,41.36193060874939,126323.99662347829
31,4,1000,42.559476375579834,126442.30330630971
32,4,1000,41.125349283218384,126929.97698331716
33,4,1000,42.6365749835968,126033.98173018472
34,4,1000,42.82925605773926,126563.53006531249
35,4,1000,42.45189571380615,125105.72191620797
36,4,1000,42.0095694065094,126246.78146812491
37,4,1000,41.587170362472534,125366.59867523762
38,4,1000,41.68703627586365,125588.93048214477
39,4,1000,43.510138750076294,127943.252982553
40,4,1000,43.075125217437744,126737.77078134145
41,4,1000,43.80635666847229,125697.22805402936
42,4,1000,43.40114617347717,125920.79718183856
43,4,1000,41.4161593914032,125986.62669810004
44,4,1000,41.067686319351196,125362.80155849089
45,4,1000,41.47782588005066,125853.41884194694
46,4,1000,43.02884769439697,125820.80558941363
47,4,1000,43.40889310836792,125565.0222922838
48,4,1000,40.95809292793274,127638.72458632207
49,4,1000,41.40134024620056,126236.90825927896
