batch_size,iteration_id,ch_score,execution_time
500,0,320.34756169947025,24.54374861717224
1000,0,297.61382350876454,19.302279949188232
2000,0,331.5587682011763,19.213346004486084
4000,0,328.38921059643803,18.70550274848938
8000,0,327.5175541267012,19.121195793151855
16000,0,329.36889004668836,18.765369653701782
500,1,286.69364108188245,18.101276397705078
1000,1,293.8895814755661,17.935003519058228
2000,1,288.80466201572364,18.022243976593018
4000,1,290.6638781537041,18.163739442825317
8000,1,290.8194855040176,17.971279621124268
16000,1,290.5815685281903,18.085698127746582
500,2,293.88476697131495,17.820435523986816
1000,2,303.7461333401237,18.298213243484497
2000,2,297.5716758929377,17.986958026885986
4000,2,302.1722854037938,17.653875589370728
8000,2,295.87367201546675,18.20957899093628
16000,2,301.7237973207469,18.084643125534058
500,3,305.49133565892595,17.771361589431763
1000,3,308.0715021547975,17.81349205970764
2000,3,309.11067985644263,17.709856510162354
4000,3,303.7517474252394,17.655556440353394
8000,3,301.5471311409596,17.58543372154236
16000,3,301.1931562768905,17.895270586013794
500,4,278.6118790946388,17.361820459365845
1000,4,291.9046205652733,17.44608759880066
2000,4,297.444809146688,17.495110034942627
4000,4,297.80760156520074,17.52223038673401
8000,4,295.9288837074817,18.109886407852173
16000,4,300.74703070492495,18.927627086639404
500,5,280.28301599356615,17.700981616973877
1000,5,286.59262306751657,17.332318782806396
2000,5,291.64482638088725,17.21671223640442
4000,5,294.38815086679256,17.601338148117065
8000,5,292.8795817138533,17.712419033050537
16000,5,294.1915281729112,17.746881008148193
500,6,303.9421376464449,17.185348749160767
1000,6,310.35161094683497,17.40162706375122
2000,6,305.9061123838358,17.258848667144775
4000,6,305.8724713630104,17.4031879901886
8000,6,306.25914704626615,18.147293090820312
16000,6,306.5137516470829,17.66602897644043
500,7,333.00236007351543,17.217023134231567
1000,7,324.13197920244613,17.633835792541504
2000,7,325.1479045629174,17.406965494155884
4000,7,325.5014913867823,17.290677070617676
8000,7,325.6117097243546,17.65205430984497
16000,7,325.7040173482921,17.66386389732361
500,8,324.95309036112604,17.20602297782898
1000,8,326.2212633317178,17.310107707977295
2000,8,326.1537246931683,17.42539954185486
4000,8,327.40062687897216,17.271682500839233
8000,8,327.36725062928076,17.402207136154175
16000,8,327.9202610622691,17.91753578186035
500,9,298.51308474581964,17.240726470947266
1000,9,304.3551204671185,17.239325761795044
2000,9,305.37295789165285,17.407647371292114
4000,9,305.12697893718337,17.291975736618042
8000,9,303.48644947112683,17.40095043182373
16000,9,305.28722752566915,17.75249147415161
500,10,312.1508377565189,17.247114896774292
1000,10,309.6437459999729,17.221245288848877
2000,10,312.9200426885087,17.281574487686157
4000,10,311.5013288532114,17.40769910812378
8000,10,314.6779330906944,17.41934847831726
16000,10,315.5589558860554,17.676753282546997
500,11,295.4896168877549,17.533130645751953
1000,11,316.7297607390567,17.74070692062378
2000,11,314.65172236239016,17.749805212020874
4000,11,319.4108602344821,17.579564094543457
8000,11,301.8674744813668,17.685380458831787
16000,11,316.75644136195757,17.887859106063843
500,12,340.96397422430846,17.61022710800171
1000,12,348.1716882140282,17.30141830444336
2000,12,348.28866853427417,17.32283616065979
4000,12,345.6031459056258,17.49487042427063
8000,12,346.5055531337679,17.61482572555542
16000,12,346.10215928362004,18.223957777023315
500,13,323.62099704177416,17.358564615249634
1000,13,312.38674046961785,17.686204195022583
2000,13,315.5658196445515,17.428215265274048
4000,13,317.11888921118657,17.505104303359985
8000,13,319.83195628703015,17.81447172164917
16000,13,315.8630612796168,17.87113046646118
500,14,241.48040463322457,17.244600772857666
1000,14,261.64718001773366,17.412305116653442
2000,14,231.8453017841979,17.261485815048218
4000,14,215.54160694590706,17.26215672492981
8000,14,237.17204322757024,17.784422874450684
16000,14,232.00983501639692,17.719306230545044
500,15,310.30654042021894,17.255290985107422
1000,15,311.7723608107089,17.483498096466064
2000,15,309.55398218799473,17.30621647834778
4000,15,311.69466929551635,17.374536752700806
8000,15,312.3124582643238,17.74126410484314
16000,15,312.69718164342765,17.84941864013672
500,16,281.919219089577,17.365107774734497
1000,16,285.7115751855619,17.30988049507141
2000,16,289.63161181811023,17.37442445755005
4000,16,286.56127747484896,17.327205181121826
8000,16,286.1592056197097,17.445940017700195
16000,16,286.8071600954309,18.069932460784912
500,17,331.3586972256423,17.182265996932983
1000,17,328.8427336247332,17.220709562301636
