iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,13.489812850952148,126635.39604708497
1,4,1000,11.598262548446655,124755.54497829574
2,4,1000,11.532734155654907,125416.46699868017
3,4,1000,11.392361879348755,125436.26832887494
4,4,1000,11.649441003799438,126075.30165508125
5,4,1000,11.447149276733398,125438.58671545988
6,4,1000,11.583073377609253,126184.37419155991
7,4,1000,11.624974966049194,125969.48454160552
8,4,1000,11.21521806716919,124857.7097797556
9,4,1000,11.447048664093018,124695.54475660625
10,4,1000,12.371262073516846,125022.6282656778
11,4,1000,11.68042254447937,125984.80542035322
12,4,1000,11.228478908538818,125248.18117396724
13,4,1000,11.120346069335938,125414.53001600679
14,4,1000,11.494916200637817,125565.86998018804
15,4,1000,11.243551254272461,124811.93561515145
16,4,1000,11.146838188171387,125460.09965175772
17,4,1000,11.206865310668945,126140.27817621765
18,4,1000,11.026113748550415,125406.53522144408
19,4,1000,11.03062915802002,126189.07502550515
20,4,1000,11.380829811096191,124601.77189450648
21,4,1000,11.219061374664307,125544.47408726922
22,4,1000,11.121543645858765,125375.4904203568
23,4,1000,11.377595901489258,125493.44989593809
24,4,1000,11.048131227493286,126533.72017698406
25,4,1000,11.267910957336426,125377.49989064678
26,4,1000,11.561490297317505,125438.76750239052
27,4,1000,11.320339441299438,125227.7059402023
28,4,1000,11.163145542144775,125728.642201383
29,4,1000,11.14591121673584,125933.0991180189
30,4,1000,11.515821933746338,125848.17406291912
31,4,1000,11.157020568847656,126264.68573423098
32,4,1000,11.222688674926758,126102.19486345955
33,4,1000,11.294624328613281,126018.60809216922
34,4,1000,11.123121738433838,125798.80100077466
35,4,1000,11.323082685470581,127210.71948897831
36,4,1000,12.27469801902771,128633.05788720152
37,4,1000,12.30149245262146,125415.12179047494
38,4,1000,12.195884227752686,125659.09953847951
39,4,1000,11.923426151275635,125092.89862044447
40,4,1000,11.243382692337036,126389.96257571943
41,4,1000,11.113768100738525,126957.51597036413
42,4,1000,11.385082244873047,126548.05131462039
43,4,1000,11.326614618301392,125711.7421651596
44,4,1000,11.2088623046875,126996.27596273497
45,4,1000,11.517934799194336,125922.62750361045
46,4,1000,11.483428478240967,124926.39350478818
47,4,1000,12.019749402999878,125042.31878033331
48,4,1000,11.063750505447388,125604.58931120433
49,4,1000,11.153108596801758,127478.82468517649
