iteration_id,k_value,execution_time,wcss
0,4,45.77049994468689,125472.010801211
1,4,44.07379984855652,124942.1042521596
2,4,45.93929576873779,124822.74334511161
3,4,43.381964921951294,124893.96858431399
4,4,41.59753942489624,125262.85021603107
5,4,40.43398594856262,124925.41629689932
6,4,43.34051513671875,125357.13724842668
7,4,41.9161651134491,124819.75198033452
8,4,43.41518425941467,124896.75495016575
9,4,40.6923668384552,127108.69683921337
10,4,42.01506948471069,125846.76803046465
11,4,45.24273705482483,124657.16108596325
12,4,44.66555643081665,124968.23106977344
13,4,41.093446254730225,124877.20150533319
14,4,43.74911618232727,124822.71553885937
15,4,42.375640630722046,124830.00072076917
16,4,41.29469013214111,124949.08502063155
17,4,41.84158134460449,124656.0350946784
18,4,42.13624453544617,125353.02316084504
19,4,40.955692768096924,125335.91021949053
20,4,38.693530797958374,125196.36604824662
21,4,39.01338315010071,124942.19041788578
22,4,39.07418918609619,126558.98107740283
23,4,39.251450300216675,125875.11426249146
24,4,39.491570234298706,125374.63795918226
25,4,39.879942178726196,125459.49627774954
26,4,40.864253759384155,124976.8177998662
27,4,41.923333406448364,125186.27285310626
28,4,39.82369065284729,125316.47651872039
29,4,40.851901054382324,125441.54866707325
30,4,40.23439645767212,124663.85816183686
31,4,39.30409860610962,125507.95707792044
32,4,37.96193528175354,124927.03648606688
33,4,39.77007269859314,125886.34317290783
34,4,39.470380783081055,124660.83307573199
35,4,41.22318077087402,124727.90974213183
36,4,38.89276909828186,124949.47774598002
37,4,41.142902135849,124699.32127594948
38,4,41.57736086845398,124823.48905733228
39,4,41.878443479537964,124663.45433041453
40,4,41.245094299316406,126268.8913871944
41,4,38.969454765319824,125466.59155414999
42,4,40.64309573173523,126107.6191612184
43,4,43.394630670547485,124656.08451151848
44,4,43.882060527801514,125682.17470791936
45,4,42.239825963974,125642.61771020293
46,4,42.73112463951111,125557.76583462954
47,4,42.2480731010437,124771.90919223428
48,4,42.427356481552124,124926.31043863297
49,4,39.43850541114807,124657.72388124466
