iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,25.09487795829773,125293.5350713889
1,4,1000,21.498982429504395,125022.29403422409
2,4,1000,21.178559064865112,124886.32467495027
3,4,1000,20.750561237335205,125292.29247525371
4,4,1000,21.87822937965393,124713.13537660855
5,4,1000,21.30068802833557,125816.62027731395
6,4,1000,22.02990484237671,125335.0992227201
7,4,1000,21.354405641555786,125818.04687398471
8,4,1000,20.830262422561646,126362.23835265425
9,4,1000,20.43094778060913,125232.01955392017
10,4,1000,20.653537273406982,125760.50451193955
11,4,1000,20.23220682144165,124517.0239553328
12,4,1000,20.029038429260254,124959.52411231861
13,4,1000,20.533948183059692,125526.79100077874
14,4,1000,20.565390825271606,125362.4924211973
15,4,1000,21.470910787582397,124941.40479254472
16,4,1000,20.7044780254364,124480.41729338886
17,4,1000,19.7667396068573,124122.5813356669
18,4,1000,20.441789865493774,124699.06944948675
19,4,1000,19.90038776397705,126296.01582204599
20,4,1000,19.711848974227905,124346.28844298603
21,4,1000,20.21956205368042,125587.88584789842
22,4,1000,19.76288866996765,125959.46225526131
23,4,1000,19.819775819778442,124171.9162979243
24,4,1000,20.224374532699585,124468.74643188046
25,4,1000,19.92180109024048,125813.6166260655
26,4,1000,19.6153781414032,125136.06618403665
27,4,1000,20.006762266159058,126267.6339549771
28,4,1000,19.69360876083374,125557.51241698675
29,4,1000,19.350347995758057,125355.42005398961
30,4,1000,19.98676633834839,125795.13111208424
31,4,1000,21.810485124588013,126411.12636551308
32,4,1000,19.569763660430908,124877.70298707324
33,4,1000,21.024399042129517,124998.23037377848
34,4,1000,21.797396898269653,126691.15873816048
35,4,1000,20.133454084396362,125167.73344354909
36,4,1000,21.17870044708252,124623.8206660111
37,4,1000,22.552303791046143,125885.20272260442
38,4,1000,21.907268285751343,124200.36732707065
39,4,1000,20.74393939971924,125022.11368781608
40,4,1000,19.52840757369995,124532.26581261957
41,4,1000,19.467952251434326,125301.18612751925
42,4,1000,21.51340961456299,124467.96861471381
43,4,1000,21.3271381855011,125137.44984423554
44,4,1000,19.574920654296875,125097.9980334778
45,4,1000,19.570849418640137,125684.28489535912
46,4,1000,19.558058261871338,125717.09739730651
47,4,1000,19.842096090316772,125520.48937473727
48,4,1000,19.831320762634277,126558.6425448422
49,4,1000,19.334859371185303,125373.75018427329
