iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,23.269453048706055,128909.59427762724
1,4,1000,21.00043487548828,125868.99723330043
2,4,1000,21.73510193824768,125107.81319753028
3,4,1000,21.927536249160767,126022.77917526526
4,4,1000,21.65174174308777,125536.07391696423
5,4,1000,21.802348136901855,126173.88342950362
6,4,1000,21.698777437210083,127349.1250958148
7,4,1000,21.9990017414093,125883.12586757382
8,4,1000,21.62382936477661,125380.09164342849
9,4,1000,21.709531784057617,126442.4720766527
10,4,1000,21.70119071006775,126257.2199958664
11,4,1000,21.48449182510376,125779.2350448107
12,4,1000,21.343504905700684,125777.14088535002
13,4,1000,21.341710329055786,126027.6978964687
14,4,1000,21.319562196731567,124754.51400087611
15,4,1000,21.34507703781128,125354.22022969634
16,4,1000,21.637445211410522,126464.3520750304
17,4,1000,21.551883220672607,125074.28543924869
18,4,1000,21.68526601791382,125451.85535954192
19,4,1000,21.21133852005005,126152.89688596199
20,4,1000,21.27699303627014,125549.5940630773
21,4,1000,20.56593942642212,124755.95433377268
22,4,1000,20.502229690551758,125815.5014661687
23,4,1000,21.147899627685547,124971.90479955598
24,4,1000,20.972590446472168,126262.76868080696
25,4,1000,21.292911291122437,125723.28452269793
26,4,1000,20.754358291625977,125717.94242306949
27,4,1000,21.30476474761963,124873.39341051644
28,4,1000,21.163188219070435,124761.20691171981
29,4,1000,21.07887291908264,128003.14807540737
30,4,1000,20.412821769714355,124685.40801561174
31,4,1000,20.34253168106079,125259.95116814804
32,4,1000,20.1392982006073,125616.7841211649
33,4,1000,20.813416242599487,125934.30175065805
34,4,1000,21.755439519882202,126120.17490106283
35,4,1000,21.336626768112183,124732.96715202121
36,4,1000,20.940490245819092,126584.74565790361
37,4,1000,21.152674198150635,125830.34234612045
38,4,1000,20.731256246566772,125401.4716530852
39,4,1000,20.53546714782715,125709.64906813992
40,4,1000,20.646713733673096,125651.69108306384
41,4,1000,20.90462827682495,125849.02108360261
42,4,1000,20.779749631881714,125650.25616393804
43,4,1000,20.351131439208984,126648.53483980634
44,4,1000,20.448827505111694,125609.57096137025
45,4,1000,20.353208780288696,125178.68753938164
46,4,1000,20.12289810180664,124563.5351661399
47,4,1000,19.97844696044922,125446.66552043826
48,4,1000,20.011902809143066,125201.15342720578
49,4,1000,20.270251989364624,125771.83748816146
