iteration_id,k_value,batch_size,execution_time,wcss
0,4,1000,114.4700255393982,125335.37715858046
1,4,1000,112.59846186637878,125659.07616756659
2,4,1000,112.68632578849792,125663.0616245886
3,4,1000,115.43482851982117,125998.78664302696
4,4,1000,113.9248559474945,126008.82628690967
5,4,1000,111.33044934272766,126112.89181186674
6,4,1000,111.76425743103027,125316.58576995487
7,4,1000,112.57298684120178,126452.49312289972
8,4,1000,111.83954668045044,126132.80038575092
9,4,1000,110.28195786476135,125818.89318036177
10,4,1000,110.1949462890625,127068.60860168858
11,4,1000,112.53667283058167,126605.23046284936
12,4,1000,110.53098607063293,127725.18632420627
13,4,1000,112.00520443916321,125951.09868416011
14,4,1000,117.18581247329712,127051.89710094155
15,4,1000,113.3664002418518,126203.97845123352
16,4,1000,110.51582908630371,126724.2631868621
17,4,1000,112.63672375679016,125107.63561430885
18,4,1000,112.0253632068634,125741.58216949513
19,4,1000,113.62911987304688,125670.3414723066
20,4,1000,112.00089907646179,126944.26477964985
21,4,1000,112.00254392623901,127140.50388927442
22,4,1000,111.70312666893005,125597.25181590751
23,4,1000,112.82837510108948,126588.27731387413
24,4,1000,113.24912810325623,126968.96626248697
25,4,1000,112.28172993659973,125713.39848825132
26,4,1000,111.99358868598938,126155.98415486763
27,4,1000,112.15423488616943,125577.75607701515
28,4,1000,109.73719000816345,125995.0450239482
29,4,1000,109.19351935386658,126150.08547303561
30,4,1000,108.59971976280212,126040.87112123195
31,4,1000,112.49470090866089,127084.44614049705
32,4,1000,114.69753623008728,125367.5712166998
33,4,1000,111.9932279586792,125628.49452478487
34,4,1000,109.05840826034546,126891.14925947001
35,4,1000,113.65433597564697,125467.89484758233
36,4,1000,112.11979913711548,125885.79174076876
37,4,1000,109.14743423461914,125128.87727258887
38,4,1000,110.17633700370789,126061.13540714982
39,4,1000,112.26426529884338,126052.13662247834
40,4,1000,114.2908296585083,127178.97805417361
41,4,1000,112.89686322212219,125730.8429882124
42,4,1000,112.35579228401184,127229.93894922071
43,4,1000,113.54351139068604,127041.7465632664
44,4,1000,112.34737372398376,125998.63570236729
45,4,1000,111.3119056224823,125506.03971021368
46,4,1000,111.28022933006287,125676.32311874913
47,4,1000,111.14899945259094,126925.18412618608
48,4,1000,108.73737478256226,126608.57006588674
49,4,1000,108.38269424438477,125151.93892895173
